Session1,Session4
"",2784333
1354232,""
"",2672306
"",2674507
1347828,""
"",2782444
1322908,""
"",2845029
1320669,""
1322768,""
1320608,""
"",3106814
"",2847834
"",2769634
1322028,""
"",2787730
1322757,""
"",2679707
"",2696115
1345806,""
"",2806506
1320621,""
"",3355486
1340438,""
"",2767607
1331406,""
"",2848234
"",2787323
"",2774210
1320674,""
1325351,""
"",2780510
1348255,""
"",2674037
"",2773904
"",2671147
"",2768104
"",2783339
1323719,""
"",2763659
1340433,""
"",2669627
"",2767521
"",2671614
1376161,""
1389637,""
1320822,""
"",2772208
1380163,""
"",2767624
1322552,""
"",2708503
1321756,""
1389991,""
"",3125486
"",3121946
"",3272495
"",3203875
"",2780257
"",2775468
1323571,""
"",2774741
"",3048062
1320639,""
"",2688151
1325594,""
1322070,2773951
"",2767631
"",2671200
1322680,""
"",2770988
1322722,""
1331313,""
"",2684454
"",3050732
"",2772124
1330097,""
1425059,""
"",3059128
"",2669607
"",2780694
"",3054489
"",2773828
1322318,""
1351135,""
1325401,""
1320631,""
"",2789256
1323877,""
"",3338316
"",2677749
"",2975335
"",2672935
"",2770878
"",2779740
"",2672941
"",2786702
"",2805978
1320627,""
1331431,""
1324087,""
"",2657321 2770080
1329614,""
"",2671518
1322045,""
"",3114426
1320658,""
1323131,""
1322154,""
"",2773918
"",2786400
1374100,""
1380089,""
"",2762743
"",3056531
"",3105247
"",2767457
1326067,""
"",2786423
"",2773482
"",3273052
1320699,""
"",2708761
1322808,""
"",2673271
"",2767445
1351844,""
"",2767483
1320728,""
1320664,""
"",2767392
"",3683042
1323553,""
"",2845230
"",2708766
1325874,""
1331289,""
1376400,""
"",2670096
1322525,""
"",2767390
"",3048189
"",2803700
"",3058794
"",2784279
1322436,""
"",2767519
1344220,""
"",2673829
"",2671495
"",2800289
"",2767420
"",2772055
"",2775363
"",3048451
"",2706017
"",2770687
"",2770967
"",2785307
1361257,""
"",2669646
1322832,""
1320675,""
1322710,""
1420457,""
