Country,ExperimentName,Session,ExperimentID
FR,FR,1,15096
FR,FR,2,16085
FR,FR,3,16143
FR,FR,4_Confinement2,30671
FR,FR,Control,26263
FR,FR_redirect,1,16303
UK,EN-GB,1,14926
IT,IT,1,16095
IT,IT,2,16096
IT,IT,3,17026
IT,IT,4_Confinement2,33249
IT,IT,Control,46347
TR,TR,1,16144
TR,TR,2,16145
TR,TR,3,16346
TR,TR,Control,56019
JP,JP,1,16612
JP,JP,2,18754
JP,JP,3,25567
JP,JP,Control,54782
JP,JP_C2,Control,55774
DE,DE,1,15575
IN,IN,1,16349
IN,IN,2,16450
US,US-CAN,1,16468
IN,IN_redirect,1,18453
IN,IN_short,1,18452
CO,CO,1,16271
CA,CA-FR,1,16257
CA,CA-FR,4_Confinement2,36172
CO,CO_short,1,16272
GR,GR,1,15684
GR,GR,2,16091
GR,GR,3,17049
AR,AR,1,17423
AR,AR-Qu-01,1,20044
AR,AR-Tasks-1,1,19856
AR,AR-Qu-02,1,19880
AR,AR-Tasks-2,1,19904
